commanded_width_us,reliable,measured_width_us,ch1_frequency_hz,ch2_frequency_hz,ch2_width_us,trigger_to_led_delay_us,ch1_cluster_separation_codes
35,False,,,5000.0,19.8,,20.456324987353845
40,True,17.6,5000.0,5000.0,19.8,74.2,47.550026752273936
45,True,17.6,5005.005005005005,5000.0,19.8,76.69999999999999,91.93892403039825
50,True,21.299999999999997,5005.005005005005,5000.0,19.8,77.5,117.33420632324075
60,True,26.9,5000.0,5000.0,20.0,79.4,135.56258428427674
75,True,41.2,5000.0,5000.0,20.0,79.0,134.88553098417657
100,True,67.8,4990.0199600798405,5000.0,20.0,78.6,130.45652347625895
125,True,91.5,5000.0,5000.0,20.0,79.2,129.41296447622148
150,True,117.6,5000.0,5000.0,19.8,78.8,125.29548853460261
175,True,144.2,5000.0,5000.0,19.8,77.9,126.90163429269732
